일자,기업명,분야,투자금,단계,투자사
2017-01-01,엠플레어,콘텐츠,비공개,,
2017-01-01,쁘디메종,콘텐츠,비공개,,
2017-01-01,와이랩,콘텐츠,40억원,,
2017-01-01,오픈갤러리,O2O,비공개,,
2017-01-01,핸드허그,콘텐츠,비공개,,코그니티브인베스트먼트
2017-01-01,코스모엔젤스,소프트웨어,비공개,,
2017-01-01,넵튠,게임,비공개,,
2017-01-01,위비아,모바일,비공개,,
2017-01-01,헬로우카,O2O,비공개,,
2017-01-01,폴라리언트,제조,비공개,,
2017-01-01,핑핑,소프트웨어,비공개,,
2017-01-01,도움팩토리,소프트웨어,비공개,,
2017-01-01,비브로스,O2O,비공개,,
2017-01-03,파운트,소프트웨어,38억원,시리즈A,"한국투자파트너스, KT인베스트먼트, 스마일게이트 인베스트먼트"
2017-01-04,버즈아트,콘텐츠,20억원,,"포스코기술투자, 미래에셋벤처투자"
2017-01-09,오누이,소프트웨어,3억원,,"스트롱벤처스, 은행권청년창업재단, 진학사"
2017-01-09,트러스트어스,O2O,90억원,,
2017-01-10,니더,O2O,1억원,,스톤브릿지 캐피탈
2017-01-10,레드타이버틀러,소프트웨어,5억원,,
2017-01-11,클래스팅,교육,30억원,,"삼성벤처투자, 클래스팅 파트너 1호 개인투자조합"
2017-01-13,착한텔레콤,e커머스,5억원,,캡스톤파트너스
2017-02-01,와이랩,플랫폼,40억원,,"캡스톤파트너스, 키움증권"
2017-02-01,파트너,소프트웨어,비공개,,
2017-02-01,휴먼스케이프,헬스케어,비공개,,
2017-02-01,째깍악어,O2O,비공개,,
2017-02-01,피그,게임,비공개,,
2017-02-06,코드스쿼드,교육,4억원,,케이큐브벤처스
2017-02-08,비트루브,교육,12억원,,"KT인베스트먼트, IBK캐피탈, 에버그린투자파트너스"
2017-02-08,밸런스히어로,소프트웨어,50억원,시리즈B,"KDB산업은행, 인터베스트, 캡스톤파트너스"
2017-02-08,글로벌네트웍스,O2O,80억원,,"알토스벤처스, 스톤브릿지캐피탈, 데브시스터즈벤처스"
2017-02-09,온누리DMC,광고,20억원,,"마그나인베스트먼트와 에버그린투자파트너스, 신한캐피탈"
2017-02-13,굿잇츠,O2O,5억원,,DSC인베스트먼트
2017-02-21,베이글코드,게임,143억원,,"IMM인베스트먼트, 에이티넘인베스트먼트, LB인베스트먼트, 스마일게이트인베스트먼트"
2017-02-23,토스랩,소프트웨어,20억원,시리즈A,에센트 캐피탈 어드바이저스
2017-02-23,어메이징브루잉컴퍼니,수제맥주,비공개,시리즈A,"본엔젤스벤처파트너스, 알토스벤처스"
2017-02-27,굿잇츠,O2O,3억원,,캐리소프트
2017-02-27,단골공장,크라우드펀딩,2000만원,,에스오피오오엔지
2017-02-27,펫픽,쇼핑,2000만원,,에스오피오오엔지
2017-02-27,프로젝트봄,소프트웨어,2000만원,,에스오피오오엔지
2017-02-27,자란다,O2O,2000만원,,에스오피오오엔지
2017-02-27,MGsolutions,O2O,2000만원,,에스오피오오엔지
2017-03-01,로나스,제조,비공개,,
2017-03-02,스튜디오씨드,소프트웨어,10억원,,"라인플러스, 에버그린투자파트너스"
2017-03-03,어게인트웬티,O2O,1억원,,AI엔젤클럽
2017-03-06,페르세우스,보안,7억원,,케이큐브벤처스
2017-03-08,마도로스,O2O,3억원,,아만타니파트너스
2017-03-08,옴니어스,소프트웨어,10억원,,한국투자파트너스
2017-03-10,팟빵,소프트웨어,10억원,,이노폴리스파트너스
2017-03-10,에이피알,미디어커머스,50억원,시리즈A,한국투자증권
2017-03-12,비바리퍼블리카,핀테크,550억원,,"페이팔, 베세머벤처스파트너스, 굿워터캐피털, 알토스벤처스, 파테크벤처스"
2017-03-15,에그번에듀,소프트웨어,9억원,,"스트롱벤처스, 프라이머"
2017-03-27,핀콘,게임,40억원,,케이큐브벤처스
2017-03-28,디지털퍼스트,광고,100억원,,아이지에이웍스
2017-03-29,미띵스,소프트웨어,8억5000만원,,"본엔젤스벤처파트너스, 세마트랜스링크인베스트먼트, 캡스톤파트너스"
2017-03-31,트위니,소프트웨어,3억원,,KITE창업가재단
2017-04-01,두물머리,소프트웨어,4억원,,더터닝포인트
2017-04-01,아샤그룹,e커머스,비공개,,
2017-04-01,테이스트샵,O2O,비공개,,
2017-04-01,브래니,콘텐츠,비공개,,
2017-04-01,몬스터스쿨,콘텐츠,비공개,,
2017-04-01,운칠기삼,소프트웨어,비공개,,
2017-04-01,엔코드,,비공개,,쿨리지코너인베스트먼트
2017-04-01,아티스티,O2O,비공개,,
2017-04-01,오시리스시스템즈,소프트웨어,비공개,,
2017-04-01,블로코,소프트웨어,비공개,,
2017-04-01,앱노리,게임,비공개,,
2017-04-01,레터플라이,모바일,비공개,,
2017-04-05,자비스앤빌런즈,소프트웨어,21억원,시리즈A,"한국산업은행, 캡스톤파트너스, 코리아오메가투자금융, 플랜트리파트너스"
2017-04-10,파이브잭,게임,15억원,,"500스타트업, 케이런벤처스"
2017-04-10,트릴리어네어,e커머스,11억원,,"베스트팀그룹, 그리퍼스캐피털파트너스"
2017-04-11,프레시지,푸드테크,5억원,,씨앤에이치캐피탈
2017-04-17,인텔론옵틱스,헬스케어,10억원,,"케이큐브벤처스, 미래홀딩스"
2017-04-20,패스트파이브,코워킹스페이스,120억원,,"티에스인베스트먼트, 퀀텀에쿼티파트너스, 아이디벤처스"
2017-04-21,스윙비,소프트웨어,13억5000만원,,"빅베이슨캐피탈, 월든인터내셔널"
2017-04-27,생활연구소,O2O,10억원,,케이큐브벤처스
2017-05-01,스켈터랩스,플랫폼,비공개,,
2017-05-01,오시리스시스템즈,소프트웨어,비공개,,
2017-05-01,로쉐린,제조,비공개,,
2017-05-01,누벤트,O2O,비공개,,
2017-05-01,태피툰,플랫폼,비공개,,
2017-05-04,크로키닷컴,e커머스,70억원,,"스톤브릿지캐피탈, 알토스벤처스"
2017-05-08,이노그리드,소프트웨어,50억원,,"KB인베스트먼트, 네오플럭스"
2017-05-16,튜터링,교육,8억원,,빅베이슨캐피탈
2017-05-16,와그트래블,O2O,20억원,,LB인베스트먼트
2017-05-17,한국NFC,모바일,30억원,,MJS
2017-05-17,쏘카,카쉐어링,150억원,시리즈C,SK
2017-05-17,딜리셔스,,20억원,시리즈A,"대교인베스트먼트, DSC인베스트먼트"
2017-05-19,마이쿤,소프트웨어,25억원,,"알토스벤처스, 500스타트업"
2017-05-22,원더스,O2O,13억원,,"케이큐브벤처스, 동훈인베스트먼트, 유니온투자파트너스"
2017-05-24,마켓잇,광고,52억원,시리즈A,소프트뱅크벤처스
2017-05-29,엑소시스템즈,모바일,3억원,,케이큐브벤처스
2017-05-29,렌딧,핀테크,100억원,시리즈B,"옐로우독, 알토스벤처스, 콜라보레이티브 펀드"
2017-05-30,펀다,핀테크,28억원,,BC카드
2017-06-01,닥터다이어리,헬스케어,비공개,,
2017-06-01,원티드랩,소프트웨어,100억원,,"스톤브릿지, KTB네트워크, 코오롱 인베스트먼트, SL인베스트먼트, 산업은행, 기업은행, 한국투자증권, IBK-트루벤"
2017-06-01,소셜네트워크,소프트웨어,비공개,,
2017-06-01,아우터코리아,광고,비공개,,
2017-06-01,큐픽스,소프트웨어,비공개,,
2017-06-01,스트라입스,O2O,비공개,,
2017-06-01,헤이뷰티,O2O,비공개,,
2017-06-01,뤼이드,AI교육,20억원,시리즈A,"DSC 인베스트먼트, DS자산운용, 신한캐피탈"
2017-06-01,윙블링,e커머스,비공개,,
2017-06-01,로지브라더스,교육,비공개,,
2017-06-01,해빗팩토리,소프트웨어,비공개,,"KB인베스트먼트, 엔텔스"
2017-06-01,소다크루,핀테크,비공개,,
2017-06-07,터치웍스,소프트웨어,30억원,,"산업은행, HB인베스트먼트, 신한캐피탈"
2017-06-07,럭스로보,로봇,40억원,,"카카오 인베스트먼트, 카카오브레인"
2017-06-07,피플펀드,핀테크,44억원,,"500스타트업스, 우신벤처투자"
2017-06-08,브리치,O2O,25억원,시리즈A,"인터베스트, 동문파트너즈, 엘엔에스벤처캐피탈, 캡스톤파트너스"
2017-06-08,야놀자,O2O,600억원,,스카이레이크인베스트먼트
2017-06-09,트레저헌터,MCN,150억원,,링크투인포테인먼트
2017-06-12,너드게임즈,게임,13억원,,"케이큐브벤처스, 캡스톤파트너스"
2017-06-14,핸디즈,O2O,3억원,시드,"스프링캠프, 플랜트리 파트너스"
2017-06-21,스테이즈,O2O,21억원,,"AJ캐피탈파트너스, SJ투자파트너스, 옐로우독"
2017-06-21,보맵,플랫폼,12억원,프리 시리즈 A,"더스퀘어앤컴퍼니, ICB, 롯데엑셀러레이터, 에셋플러스자산운용"
2017-06-21,벤디츠,O2O,6억원,,"쿨리지코너인베스트먼트, 케이브릿지인베스트먼트"
2017-06-22,래블업,소프트웨어,20억원,,"케이큐브벤처스, 스톤브릿지벤처캐피탈"
2017-07-01,파이언스,소프트웨어,비공개,,
2017-07-01,모비두,소프트웨어,비공개,,
2017-07-01,더웨이브톡,소프트웨어,비공개,,
2017-07-01,레티널,제조,비공개,,
2017-07-01,서지컬마인드,헬스케어,비공개,,
2017-07-01,지냄,O2O,비공개,,
